,Review
104,app demands access camera phone instead allowing good quality pictures dslr . 
105,"app access/ load photos , even though explicitly gave permission . dont show . "
106,app monthly deletes saved login choices stable . 
107,"hello , downloaded app ca go next page , required accept privacy policy , filled personal details tick accept privacy policy , ask please accept privacy policy.kindly help solve issue . "
108,app working photos selected gallery deleted permanently automatically lost many documents 
109,unusable app without full functionality android users . point android version perform inspections ios device . horrible company 
110,"try collect privacy , bad apk "
111,app secretly take photos videos data theft app please remove app play store 
112,hello play store teams please remove application fud apps 
113,helo mudrakwik users please remove application phone application collection data black mailing family members friends pictures crox red circles call inform sending masage permission 
114,wrose app ... filled personal details required company email ... give show invalid email id since days ... fake app 
115,download app fraud app collecting data asking reverse pay money first plzplz use fraud app worst ... 
116,bad experience app . received notification informing rs.15000 approved upload documents . login security pin 
117,"worst app , fraud , collection money done install application "
118,"worst app , fraud , collection money done install application "
119,"fraud app , taking money name subscriptions , approving loans instead taking money us name subscription plans . finally apps robbing like . "
120,app one worst app .. pay 59 fill personal information app working .. servies fully unsupported customer ... bad .. fully bad ... dont install 
121,recommend app . wasted time telling document document finally asked pay amount using app . informed uploading documents confidential details . else mention app eligibility critertia . internal policy ? ? nothing status . charged fee use app . happened shared bank details personal data . worst app forever 
122,wrost app saved personal details paying 59rs wrost app instant loan costumer service mail 
123,fraud app . working properly . irritating users & collect users data . 
124,"fraud app , rs.50 paid , information unidentified content . complaint raised blacklist app shortly "
125,fake app stealing users info . den automatically blocking . 
126,barkar service world trust app thanks rejecting inform customers download app 
127,useless fraud app . help also helpless demands documents already uploads documents app 
128,"worst app ever downloaded 😒 paid yearly subscription ... 149.00 cnd yet unable unlock videos . android phone keep getting message download latest version make sure wi-fi mobile data turned , .... also uninstalled installed app .. went settings allowed permissions .... know else . ☹️ "
129,"google please close app many user bad experiences app , developer reply .. 2017 already purchased never login app .. today buy melawai store said check apps , remember click forgot password work , tried second option login google account work .. check guarantee , buy historical made "
130,app drains phone battery 
131,repeatedly sending notification pop-up installing apps . user interested show pop-up 
132,"app ask permission contact , calls media deny run . users becoming privacy concerned forced . "
133,audio recording capability app pathetic . sending voice notes good option app . reason people prefer whatsapp hike . 
134,using hike last 3 yr amazing app .... faces problems ... like hide content reading fingerprint ... needs always password ... te loading 10 message per one notification msg delete everyone 
135,"receiving messages instantly , open app receive notification , app allowed work even background , working good internet connection , kindly resolve issue "
136,requires permission contacts calling . without wo able use app . like want app allow us read contacts care whether want keep hidden us . think permission allowed disable specific functionality app . guess considered . 
137,excellent app prefer privacy . fingerprint lock / pin whole app . would perfect . hey developers almost apps support split screen option . hike still supporting . split screen new feature android . useful feature hike lacks . also another issue videos uploading . takes long send videos . could tweak app bit better user experience . 
138,issue recieving messages delayed app running background even though given full optimum permission . want also point contacts app refresh change name person system seriously major bugs highly anticipated apps nuisance words taken little seriously developers working vain . run app development company would love help . 
139,"best app , develops new extra features app "
140,"app used fantastic , recently moving app android ios device , lost chats . reported product team nearly 15days back , got response . liking . resetting account option also available new release , restore backup well . : ( "
141,government india marked app insecure ... take measures protect private data . 
142,security intrusion detection ! even though auto back turned started taking backup background ! 😡😳 
143,hi .. deleting hike hide option contact numbers . please give us option app choose hide contact . believe popular . 
144,hate app one reason ... send sms contacts without user permission 😕😕it bad thing app ... uninstall app ... 
145,worst app . .zero privacy concern ... u block someone person nd add group .... nd aftr putting compliant one consult . use things . ... privacy worst app ... want give single star even . . 
146,used great app . unnecessary updates copycat features ruining app user experience 
147,cautious ! app open allow contacts access ! 
148,great messaging app new automatic backup feature letting us search old messages reinstalled 
149,auto backup makes concern privacy ...... i.ll happy hike made end end encrypted like whatsapp ... 
150,"liked old version , hike 5.0 . awesome safe ( reliable privacy personal information ) . new version safe.you get calls random people . less chances making friends ones know . extra features existed previously . personappy recommend use app . "
151,app good getting warning system stating hike ia using mic background annoying privacy issue 
152,great app privacy good media sharing always stuck sending media also hiccups sending receiving messages 
153,"apps user information hacking , use apps "
154,"good app . prefer app chatting due richer chatting experience . issues : 1 . reply feature work links , please enable . 2 . ca view hidden chats hike web , even unlocking app . please look matter . 3 . notifications come open app , requires fixed soon possible . bring features like bringing whatsapp group chat messages hike groups , hike direct , deleting messages . "
155,privacy .. one . check messages view messages .. getting lots options invite friends hate ... getting ? .. please change features app .. wanted invite friends .. sending particular person something .. options also ? ? ? ? plzzzz change app features ... please make privacy protected .. however features like 
156,"using hike last 3 years . old hike far better new one . full bugs irritating uses . * * seen lot comments trouble sending message receiving messages , also facing untill open app seeing msg notification hike eventhough lot messages . irritating . issue loose lot users , friends already stopped using "
157,autobackup made mandatory instead optional . dont want backup media files online app way stop . app backs data online without permission . totally wrong . 
158,"new incoming messge notification received , even notification setting ok. allowed background data . "
159,great app . suggestions . provide end end encryption . increase number people join group . enable transferring files types sizes . also make sms app . provide features hike skyrocketed fame . 
160,wrost app app received picture video audio save memorycard phone memory like app 
161,"previous version ok .... 6.o good .... one problem new version stays offline open app . open app , shows 'you online get messages sent others . must give push notifications .... everything checked system settings notification . "
162,farud app taking many permissions 
163,"hike zero privacy , exploitative copycat messaging app . fooled superficial resemble telegram whatsapp , app hoards data . read privacy policy . everything put app legally property developers . worst application imaginable . using let control images text . careful . stay control data . delete account . read privacy policy terms service . "
164,harvesting email addresses . went delete app data & app wo let . 
165,updated latest version app wants update . asks permissions nothing . looks like scraping personal info .... 
166,"never seen app want many permissions . verizon need read confidential notes calendar ? modify call log ? switch flashlight ? close apps ? access fingerprint reader ? 'll pass , thanks . "
167,"latest phone update , app recognize phone allow log credentials . worthless . "
168,"app installed google bought nexus 6 , realized asking silently denied superuser access . one would app need elevated permission , two , stated apps description privacy policy ? ? calling google pull possible malicious application play store due subject . "
169,business account app give new features like safety mode new ui . also let stay logged app always makes enter username password even select `` remember `` . please fix . 
170,permissions like make apps undesirable . 
171,"huge app way many app permissions required ( dubious given poor past privacy history ) . slow lots spinning circle icon . support showing basics like current full bill itemized charges . strange ux inconsistent android ux guidelines . get review change plan really wanted , 'll immediately uninstall . "
172,"candy wrapper web app , true mobile app . requires login every single time . option save credentials . modern mobile oses provide secure way store credentials . app leverage . find typing strong password every single time entertaining . "
173,automatic virus scanner claims app threat every day since last upgrade . 
174,"app requires many new permissions `` bug fixes & enhancements `` . need descriptive added functions , like sms ability added .. shame verizon blocking previous version app requiring update ! ! edit : app longer works . sits loading screen opening .. edit 2 : discovered view account information connected wifi network , using cellular connection .. great ! "
175,"app need see apps running ? able pair bluetooth devices ? feels like unnecessary snooping . would love ability manage verizon account via app , see real-time data usage . 'll live without benefits app requires reasonable permissions . "
176,app suck spys nsa . notice new permissions update takes . 
177,"excessive permissions required ? thanks verizon , prefer privacy . entire app needs overhaul ! "
178,"need app . serves purpose , ca delete without rooting phone . keep getting update notices stupid app . give verizon , bloatware serves con negative column debate whether keep . "
179,find app useful refuse update latest version due permissions . first knowing location barely tolerated . want read text messages ? thank . remove useless permissions please . app pretty good . 
180,"app functional , significantly expectations . app automatically check data usage ? option . app slow login requires several steps accomplish basic tasks . disappointing ... "
181,refuse update app based crummy reviews . using old version ( pre new-ui ) disallowed connections together . crummy app ( read data widget ) along new data plans means head different carrier date comes . nice 10 year run though . need root completely uninstall useless piece junk . 
182,"please enable log option . phone stolen , lots info freely available via app . poor poor design choice ! ! "
183,would useful app removed main use data usage widget even able open without verizon login client found .... stupid app 
184,bring back wonderful tracking widget ..... shared data plans stupid idea 
185,removing usage widget negates need app ... bad move . removing app ... 
186,force quits sign data app removed . 
187,never log app ; says password incorrect logged website credentials . ok though data monitoring widget worked . removed useful feature ! 
188,took away useful part app . guess attempt get users go data plan giving quick usage info . 
189,"collects data removed , app updated without permission "
190,privacy concerns . new version reading personal contact info . 
191,"ridiculous set new permissions , att promptly rewrote app remove ridiculous permissions . data farming verizon ! "
192,application requests invasive permissions need work . 
193,never complete ekyc app stealing users data . give personal details kyc never approved . main motive stealing personal data users . please aware application . 
194,poor app . takes far long open . clicking app hard tell click registered app nothing let know selected eventually opens sometime later usually takes two login attempts fingerprint access granted - flashes rather annoyingly . good experience . latest update installed 14/1/21 different . 
195,"cant use new android phone , yet logging online view account still requires 2fa app ... access account "
196,really annoying despite bad reviews remove apps would let update otherwise need access account online . forxed update didnt want . 
197,"continually attempting start app . passwords , security details , codes added app times . deeply scary procedure requiring urgent phonecalls reassurance . finally , fresh install app , good go . helpful friendly local service phone enquiries "
198,"decent app , seriously lacking features . ability update personal details , phone numbers , view pin . basic compared apps . works okay , problems log , etc . "
199,"changed phone . number . app let log passcode details keep getting locked account . phoned customer service , twice , last time told uninstall install app would work . well ! locked account . useless app useless customer service ! "
200,"constant problems detecting screen overlay blocking actions , even disabled . mobile banking meant convenient . app . "
201,used app long time since recently upgraded phone re-installed app bit wo let log normal.its asking log using telephone banking details card details telling info wrong know isn't.useless ! ! 
202,"sign using email ( fraud protection ) , google ( app ’ comply google ’ secure browsers policy ) , facebook ( logging facebook embedded browser disabled . ) "
203,app garbage . lot functionality moved app ... completely removing purpose app ... 
204,garbage ; new app recognize existing account . remove app account continues . 
205,add ability paste password password managers . apps feature 
206,"app disallows paste username password fields , makes work password managers . obnoxious non-starter . ( yes , support fingerprint login , unwilling manually type long random password ridiculous app enable . ) "
207,"terrible app , tried 10 times login account using email google+ without success . error states `` problem accessing account `` happens every time . login website credentials everytime know account info correct . looking reviews even bothered install app , obviously poorly written supported application . surprise problems experienced mycokerewards . "
208,"dear developers ... try track location app need know , get uninstalled immediately . "
209,investigated google remove app internet crazy give info need pay . ilegal app website get personal information . 
210,"wanted check possible solutions skin thought app seemed like . took 2 attempts make account cuz booted tapping google sign option . second time pressed email one . immediately , google informed app exposed password another party . thank god use pass real one google . seriously ? imma uninstall , concerning . "
211,"unable establish connection via audio video call , though required permissions granted sides camera recipient see hear . need improvements developer side . "
212,terrible malicious spyware.infested application .. absolutely nothing pretend real useful app really full malicious malicious internal device hacks data tracking wearing software 
213,app lock biometric access pin access app security 
214,privacy using app . chats end-to-end encrypted . 
215,"notification new messages , opening application appear . checked everything permissions app notification given yet rubbish app works manually opening shows new messages . "
216,"ca share location request attendance . says turn gps , even though share location others app time ... please fix ... "
217,"rarely use app recently & said dark theme update theme option commented . next thing know , chat random creepy guy ! try evrythng delete/block w/o opening chat . impossible . & tried change security settings something like friends message . thing ! deleted account & made new one . discover app downloaded p * rn pics gallery w/o consent ! 😡🤮 "
218,"app acts malware . forcebly take rights without users permission & breaking security settings . app read otp message automatically , app device ever . set block permissions . notifications stay encrypted messages accessed app lock pass . , checked settings > app permissions app , shows taking none , even subordinate ones . playstore info shows , requires several permissions "
219,grown loathe app past 3 months . required use others wanted super secure chat plan board game nights group potlucks . gives friends family ability blow phone trying find one another bacon fest . heaven forbid sensitive information fall wrong hands . way snooze app put silent without putting whole phone silent . 
220,bad apps privacy ne nukashan thay 
221,"secure ? ? end end encryption ? app explain section , ? "
222,stupidest app ever must info contacts contact without using kaizala 
223,important info privacy concerned users -- kaizala allow anything unless sync contacts . need sync personal contacts primarily work app. ? app work smoothly without contacts permissions . provide facility add contacts wish use kaizala . next thing expecting full encryption . searching alternate app uninstalling kaizala till starts respecting privacy . 
224,"thought app good first , control cameras features instead faking like apps , runs battery super fast , ... oh yeah , pay use app . free app , actual record button locked behind paywall ! ! ? "
225,worst app may break privacy rules . stay away . 
226,since long time trying login something apps . u r introducing new apps apps want use .. one one apps facilities 
227,app worthless except give access phones information constantly recieve pop stating warning current app version compatible since installed app phone ringing hook scam calls also email exploded scam junk unwanted emails `` want information shared give permission anyother company share information `` 
228,"need login every time open app ? app use works way , banking apps . app really ultra-secure banking app ? ? "
229,"unusable , registered via web site , app wo recognise login , wo reset password , wo register new account . worthless . "
230,"signed first time , wanted agree app could see private information . want apps see private information , download . "
231,worst app ever used specialy removed login phone opttion kindly allow login phone option .... 
232,one useless app ever used also secure privacy beware 
233,"despite turning notifications , still getting unsolicited disgusting notifications . reported app developers . "
234,like app .... amazing ... thanks creat app ..... plz work strong privacy ...... 
235,agree new privacy policy . deleting app forever 
236,snack app 1 fraud work requested people delete app mobile 
237,"app banded , force download automatically , disturb mentally ask update , option update . case harassment app . dirty rude "
238,many unnecessary notifications . uninstalling app . 
239,useless app . installed many times account login . every times say device reach maximum numbers account . deleted app 
240,app stealing data making fool dont install app trojan 
241,"un-installed harmful app , lots music alongwith dirty items allowed share app . u cant share good things "
242,total fraud ! ! ! ! ! one dangerous apps . easily hack data background ... 
243,please options sharing inviting display whatsapp icon share whatsapp 
244,recommend install app . app scam sharing personal information without letting know . app needs showsome professionalism . scammers tiktok much professional keeps data secure . cant even delete account scam using creativity earn selves delete app also file complaint playstore maintain standards .shitfull app 
245,worst app . supporting terriost group . spreading hate news liked page without permission . privacy secure 
246,app good app privacy bad add code dont invite another 
247,bad app . privacy problem face disgusting app ever.😡 
248,"app share data access information without parmsion , please dont install . "
249,app shares data users getting permission users 
250,"helpfull app , totally useless content , exposes user personal details app banned internationally "
251,main reason give 1star virus.i want install phone receive notification app download.this app contain virus . app automatically installed phone . 
252,bad experience . wrost app ever plz dont install app steal data 
253,chaina app please dounload privacy 
254,wrost application privacy 
255,bad privacy setting bad policy app 
256,bad application privacy settings automatically changed ... 
257,app hide data use 
258,apps dangerous personal data . made chaina ... 
259,ban app take many permission stole user data 
260,"bad app , data privacy security issue "
261,privacy protection app 
262,"woaaah .... apps wants phone information . check apps permission . doesnt make sense . sorry , uninstalling "
263,"app safe app collecting information , ever type like password information . "
264,worst .. app collecting personal datas passwords .. worst 
265,needs typing voice voice typing happy app grabbing saving email addresses . privacy concern . common words stored disclosed allowed disabled . plus also saving ones home address privacy concern 
266,enabling app ... clearly saying collects personal data like bank details password ... would ? 
267,"truly , deeply enjoy wonderful app . using texting needs recently started using google messaging app completely private encrypted . change grammerly app longer works never works private areas . extremely devastating , affects star rating significantly . please allow users use app everywhere , private . "
268,"app asks enable gammarly keyboard settings . tells warning app able record things type , passwords sensitive data . closed app uninstalled . "
269,"good privacy , app read msgs text , credit card details , passwords etc "
270,app wants us allow access passwords secret details . could risky think . 
271,"privacy concern uninstalled app . force use grammarly keyboard ? ? think , enter internet banking password via keyboard , save data ... "
272,"asks keyboard permission use app , explicitly mentions allow app read personal data `` including passwords credit card numbers `` . apps must strictly governed . "
273,worst app read passwords credit card details personal things usefull 
274,app collecting sensitive data passwords ? 
275,really useful app going take risk regarding privacy . doubts safety personalized data . concentrated safety user data surely deserves 5 stars . 
276,app collecting personal data including credit card numbers password . app good providing good things stolen secrets customer right ? thanku much going use app 
277,use grammarly key board mandatory . data password type secure use app 
278,data especially passwords compromised use app . second day started using app lot apps security issues 
279,"think app trying steal information passwords get access accounts . phone account tried access successful changed password could login account , getting notice changes made cellphone account . overall great app though . "
280,extremely dangerous app . may collect personal data 
281,"hi , team . told developer data may shared others , privacy stands ? app collecting credentials could shared third parties , means app could cause repentance install . folks would like give suggestion app downloaded cleared handing credentials app . think . "
282,secuirty alert showing app .... 
283,app asking permission personal data record typed like credit card number password etc . hell . 
284,asking store private information like password things ..... use app allow conditions bad users ... go app 
285,installing app asking permission access personal data like password card details acceptable . use app 
286,"app needs collect personal data , passwords , credit card details ans . "
287,"installed app bit surprised gave notice application collects password credit card details , uninstalled ... "
288,"never install app device require access passwords personal information . warning information sell millions companies . advertising , scams much . victim . privacy protected constitution . erase review time . watch . "
289,"think app computer mobile device huge problem . installed , thinking great , saw attention app collects password credit card numbers . truly comfortable uninstalled app . thank 👎 "
290,unsecure app .. required permission like collect bank details password pin whatever type . 
291,"app needs credit card information , personal datas password ? seriously ? 👎🖕 "
292,facing issue installing app mobile capturing personal messages password details users ? 
293,"app knows passwords .... internet bank password , facebook password , twitter account password .. app scary .... beware .... collects data .... passwords secured .... trust grammarly personal stuff ... fair right .... change feature mister grammarly start losing people use app india south asian countries .... privacy app modern generation risk ...... "
294,"security issues grammarly app , installation asked store passwords security key "
295,"installed app , received message may access personal texts , passwords credit card info . uninstalled . ok ! "
296,"download , app ask permission read store passwords including bank , ? .. shocking learn ... "
297,"application keeps password account data ! , despite good , deleted issue . "
298,fraud app .... collects personal data password .... aware enabling permissions ... 
299,"feel unsafe app , asking save password credit card number .. "
300,serious issue data breaches .if user activate grammerlly key board sensitive data collect .there lot app already .so beware ! installed . 
301,warning says app collects password data sensitive data afraid use . 
302,download app went set put said able access passwords credit card numbers ... wow .. uninstalled app ... 
303,"stupid app wants permissions collect credit card , bank personal information . poor program . "
304,"installing app wanting permissions passwords , credit cards . thank-you "
305,terms conditions makes fear install app . pls concentrate privacy customers otherwise app useful . 
306,disappointing app data mines everything type . justification app collect store typed content . type someone email address phone number data . send message someone medical condition data . bypasses end end encryption type messaging . would question gdpr compliant . 
307,personal data gone fraud app 
308,"security issue , adding app gives pop-up notification grammerly save everything type including passwords credit card numbers , feel safe concerned data n allow application default cell phone . "
309,understand app wants personal data . deleted without using . 
310,big issue . like app . app sees personal passwords data . 
311,beware guys app malicious collects data type steals credentials banking etc ... 
